id_acteur,id_oeuvre,role,recompense
1,1,first,0
2,1,second,0
3,2,first,0
4,2,antagonist,0
5,3,first,0
6,3,antagonist,0
5,4,first,0
7,4,antagonist,1
5,5,first,0
4,5,antagonist,0
8,5,antagonist,0
8,2,second,1
9,6,first,0
10,6,second,0
11,7,first,0
12,8,first,0
13,8,first,0
13,9,first,0
14,9,second,0
15,10,first,0
16,10,first,0
17,11,first,0
18,11,second,0
19,23,first,0
20,23,second,0
21,23,second,0
19,24,first,0
20,24,second,0
21,24,second,0
19,25,first,0
20,25,second,0
21,25,second,0
6,20,first,0
22,20,second,0
23,20,second,0
24,21,first,0
22,21,second,0
23,21,second,0
24,22,first,0
22,22,second,0
23,22,second,0
25,26,first,0
26,26,first,0
27,26,second,0
28,27,first,0
29,27,second,0
30,27,second,0
31,28,first,0
32,28,first,0
33,29,first,1
34,30,first,0
35,30,second,0
36,31,first,1
37,31,first,0
38,31,first,1
39,31,first,0
40,31,first,0
41,31,first,0
42,32,first,0
43,32,second,0
44,32,second,0
10,33,first,1
30,33,second,1
45,33,antagonist,0
46,33,second,0
47,33,second,0
46,34,first,0
45,34,second,0
47,34,second,0
48,35,first,0
49,35,second,0
50,35,second,0
51,36,first,0
52,36,second,0
53,37,first,0
54,37,second,0
55,38,first,0
32,38,second,0
56,38,second,0
57,39,first,0
58,40,first,0
59,40,first,0
60,42,first,0
61,42,first,0
62,42,second,0
63,43,first,0
64,43,second,0
65,43,second,0
65,35,second,0
66,44,first,1
67,44,second,0
62,44,antagonist,0
68,45,first,0
67,45,second,0
69,48,first,0
70,48,second,0
70,49,first,0
69,49,second,0
71,50,second,0
72,50,first,0
73,51,second,0
74,51,first,0
27,51,second,0
75,51,antagonist,0
73,52,second,0
74,52,first,0
27,52,second,0
75,52,antagonist,0
73,53,second,0
74,53,first,0
27,53,second,0
75,53,antagonist,0
