id_realisateur,nom,prenom,date_naiss,nationalite,recompense
0,Doe,John,1900-01-01,USA,0
1,Nolan,Christopher,1970-07-30,UK,1
2,Winding Refn,Nicolas,1970-09-29,Danish,0
3,Fincher,David,1962-08-28,USA,1
4,Molina,Adrian,1985-08-23,USA,0
5,Lasseter,John,1957-01-12,USA,1
6,Unkrich,Lee,1967-08-08,USA,1
7,Cooley,Josh,1979-05-23,USA,1
8,Docter,Pete,1968-10-09,USA,1
9,Stanton,Andrew,1965-12-03,USA,1
10,Lucas,George,1944-05-14,USA,0
11,Kershner,Irvin,1923-04-29,USA,0
12,Marquand,Richard,1937-09-22,UK,0
13,Benioff,David,1970-09-25,USA,1
14,Nolan,Jonathan,1976-06-06,UK,0
15,Thomas,Craig,1971-06-26,USA,0
16,Esmail,Sam,1977-09-17,USA,0
17,Hirst,Michael,1952-09-21,UK,1
18,Kauffman,Marta,1956-09-21,USA,1
19,Ball,Alan,1957-05-13,USA,1
20,Gilligan,Vince,1967-02-10,USA,1
21,Lindelof,Damon,1973-04-24,USA,1
22,Fuller,Bryan,1969-07-27,USA,0
23,Daniels,Greg,1963-06-13,USA,1
24,Whedon,Joss,1964-06-23,USA,0
25,Neame,Gareth,1967-03-08,UK,1
26,Fogelman,Dan,1976-02-19,USA,0
27,Brooker,Charlie,1971-03-03,UK,1
28,Kripke,Eric,1974-01-01,USA,0
29,Plec,Julie,1972-05-26,USA,0
30,Darabont,Frank,1959-01-28,USA,0
31,Kirkman,Robert,1978-11-30,USA,0
32,Gimple,Scott,1971-03-29,USA,0
33,Schaefer,Karl,1960-05-26,USA,0
34,Kreisberg,Andrew,1971-04-23,USA,0
35,Kring,Tim,1957-07-09,USA,0
36,Jackson,Peter,1961-10-31,New-Zealand,1
